iter	Passed	Remaining
0	4	4421
1	8	4064
2	11	3817
3	14	3686
4	18	3749
5	22	3653
6	25	3586
7	28	3526
8	31	3511
9	35	3529
10	38	3497
11	42	3483
12	45	3468
13	49	3505
14	53	3507
15	56	3486
16	60	3476
17	63	3464
18	67	3471
19	70	3458
20	74	3449
21	77	3443
22	81	3450
23	85	3486
24	90	3511
25	94	3530
26	99	3574
27	104	3613
28	108	3629
29	112	3642
30	117	3667
31	121	3671
32	125	3679
33	130	3698
34	134	3708
35	138	3714
36	142	3714
37	148	3757
38	152	3762
39	156	3760
40	160	3761
41	165	3775
42	169	3775
43	173	3771
44	178	3782
45	182	3790
46	186	3789
47	191	3791
48	196	3808
49	200	3809
50	204	3805
51	208	3800
52	213	3816
53	218	3829
54	222	3829
55	227	3837
56	231	3837
57	236	3833
58	239	3827
59	244	3828
60	248	3823
61	252	3817
62	256	3810
63	261	3817
64	264	3810
65	268	3802
66	272	3796
67	277	3802
68	281	3796
69	285	3790
70	289	3783
71	294	3789
72	297	3781
73	301	3771
74	304	3760
75	308	3756
76	313	3757
77	317	3750
78	321	3744
79	325	3743
80	329	3736
81	332	3727
82	336	3719
83	340	3715
84	344	3712
85	348	3705
86	352	3696
87	356	3689
88	360	3689
89	364	3681
90	367	3672
91	371	3664
92	375	3661
93	379	3653
94	382	3644
95	386	3635
96	390	3636
97	394	3627
98	397	3618
99	401	3609
100	405	3609
101	409	3608
102	413	3599
103	416	3588
104	419	3579
105	424	3576
106	428	3572
107	431	3563
108	434	3554
109	439	3552
110	442	3544
111	445	3534
112	449	3525
113	453	3521
114	456	3515
115	460	3506
116	463	3497
117	466	3489
118	470	3486
119	474	3479
120	477	3471
121	481	3464
122	484	3457
123	488	3450
124	491	3442
125	495	3435
126	499	3434
127	503	3428
128	506	3420
129	510	3413
130	513	3409
131	517	3404
132	521	3398
133	524	3391
134	527	3381
135	531	3379
136	535	3372
137	538	3364
138	541	3356
139	545	3349
140	549	3346
141	552	3338
142	555	3331
143	558	3322
144	562	3316
145	565	3310
146	569	3303
147	572	3296
148	575	3287
149	578	3280
150	582	3274
151	585	3267
152	588	3259
153	591	3251
154	596	3250
155	599	3243
156	602	3235
157	605	3227
158	608	3220
159	612	3218
160	616	3215
161	620	3208
162	623	3202
163	627	3196
164	630	3192
165	634	3185
166	637	3177
167	640	3170
168	644	3167
169	647	3159
170	650	3152
171	653	3145
172	656	3138
173	660	3134
174	663	3127
175	666	3120
176	669	3114
177	672	3107
178	677	3105
179	680	3100
180	683	3094
181	686	3086
182	689	3079
183	693	3076
184	697	3070
185	700	3065
186	703	3058
187	706	3052
188	710	3047
189	713	3042
190	717	3037
191	720	3031
192	724	3028
193	728	3027
194	732	3023
195	736	3019
196	739	3015
197	743	3011
198	746	3006
199	750	3000
200	753	2996
201	757	2993
202	761	2989
203	765	2985
204	768	2979
205	771	2974
206	775	2969
207	778	2964
208	781	2958
209	784	2951
210	788	2947
211	792	2946
212	796	2941
213	799	2936
214	802	2931
215	806	2928
216	810	2923
217	813	2916
218	816	2911
219	819	2906
220	824	2905
221	828	2902
222	831	2897
223	835	2893
224	839	2891
225	842	2886
226	846	2881
227	849	2877
228	853	2872
229	856	2868
230	859	2862
231	863	2857
232	866	2852
233	869	2847
234	873	2843
235	877	2839
236	880	2834
237	883	2830
238	888	2827
239	891	2822
240	894	2817
